"cvegeo","anio","indicador","valor_indicador"
31010,2010,"pobreza_extrema",36.1
31011,2010,"pobreza_extrema",22.7
31012,2010,"pobreza_extrema",35.8
31013,2010,"pobreza_extrema",5.4
31014,2010,"pobreza_extrema",18.5
31015,2010,"pobreza_extrema",21.9
31016,2010,"pobreza_extrema",44.1
31017,2010,"pobreza_extrema",36.8
31018,2010,"pobreza_extrema",15.3
31019,2010,"pobreza_extrema",39.9
31020,2010,"pobreza_extrema",13.4
31021,2010,"pobreza_extrema",52.2
31022,2010,"pobreza_extrema",63.1
31023,2010,"pobreza_extrema",10.4
31024,2010,"pobreza_extrema",47
31025,2010,"pobreza_extrema",39.4
31026,2010,"pobreza_extrema",13.5
31027,2010,"pobreza_extrema",18.2
31028,2010,"pobreza_extrema",7.1
31029,2010,"pobreza_extrema",19.4
31030,2010,"pobreza_extrema",36.4
31031,2010,"pobreza_extrema",25.4
31032,2010,"pobreza_extrema",27.7
31033,2010,"pobreza_extrema",18.2
31034,2010,"pobreza_extrema",17.1
31035,2010,"pobreza_extrema",20.4
31036,2010,"pobreza_extrema",26.8
31037,2010,"pobreza_extrema",22
31038,2010,"pobreza_extrema",14.1
31039,2010,"pobreza_extrema",8.6
31040,2010,"pobreza_extrema",12.8
31041,2010,"pobreza_extrema",5.9
31042,2010,"pobreza_extrema",26.5
31043,2010,"pobreza_extrema",29.1
31044,2010,"pobreza_extrema",20.7
31045,2010,"pobreza_extrema",13
31046,2010,"pobreza_extrema",40.4
31047,2010,"pobreza_extrema",35.4
31048,2010,"pobreza_extrema",10.7
31049,2010,"pobreza_extrema",53.8
31050,2010,"pobreza_extrema",2.7
31051,2010,"pobreza_extrema",4.4
31052,2010,"pobreza_extrema",8.6
31053,2010,"pobreza_extrema",23.3
31054,2010,"pobreza_extrema",13.7
31055,2010,"pobreza_extrema",30.5
31056,2010,"pobreza_extrema",19.2
31057,2010,"pobreza_extrema",23.7
31058,2010,"pobreza_extrema",28.4
31059,2010,"pobreza_extrema",3.5
31060,2010,"pobreza_extrema",28.7
31061,2010,"pobreza_extrema",7.1
31062,2010,"pobreza_extrema",20
31063,2010,"pobreza_extrema",10.9
31064,2010,"pobreza_extrema",13.7
31065,2010,"pobreza_extrema",3.5
31066,2010,"pobreza_extrema",28.3
31067,2010,"pobreza_extrema",16.5
31068,2010,"pobreza_extrema",20.2
31069,2010,"pobreza_extrema",30.5
31070,2010,"pobreza_extrema",20.3
31071,2010,"pobreza_extrema",21.8
31072,2010,"pobreza_extrema",7.1
31073,2010,"pobreza_extrema",65.8
31074,2010,"pobreza_extrema",12.2
31075,2010,"pobreza_extrema",44.2
31076,2010,"pobreza_extrema",10.8
31077,2010,"pobreza_extrema",25.3
31078,2010,"pobreza_extrema",19.1
31079,2010,"pobreza_extrema",22.4
31080,2010,"pobreza_extrema",21.2
31081,2010,"pobreza_extrema",53.3
31082,2010,"pobreza_extrema",21.6
31083,2010,"pobreza_extrema",5.8
31084,2010,"pobreza_extrema",31.4
31085,2010,"pobreza_extrema",27
31086,2010,"pobreza_extrema",11.1
31087,2010,"pobreza_extrema",23.7
31088,2010,"pobreza_extrema",14.8
31089,2010,"pobreza_extrema",10.5
31090,2010,"pobreza_extrema",17.8
31091,2010,"pobreza_extrema",15.7
31092,2010,"pobreza_extrema",57.4
31093,2010,"pobreza_extrema",5.6
31094,2010,"pobreza_extrema",33.4
31095,2010,"pobreza_extrema",6.8
31096,2010,"pobreza_extrema",22.4
31097,2010,"pobreza_extrema",42.4
31098,2010,"pobreza_extrema",35.6
31099,2010,"pobreza_extrema",50.6
31100,2010,"pobreza_extrema",10
31101,2010,"pobreza_extrema",6.4
31102,2010,"pobreza_extrema",17
31103,2010,"pobreza_extrema",23.1
31104,2010,"pobreza_extrema",25.4
31105,2010,"pobreza_extrema",14
31106,2010,"pobreza_extrema",8.8
31001,2015,"pobreza_extrema",9.6
31002,2015,"pobreza_extrema",5
31003,2015,"pobreza_extrema",17.5
31004,2015,"pobreza_extrema",6.4
